"Person","Gender","TimePoint","Satisfaction"
102,1,"Satisfaction_Base",7
103,1,"Satisfaction_Base",9
104,1,"Satisfaction_Base",7
105,0,"Satisfaction_Base",10
106,0,"Satisfaction_Base",10
107,1,"Satisfaction_Base",8
108,1,"Satisfaction_Base",3
109,0,"Satisfaction_Base",7
110,0,"Satisfaction_Base",9
111,0,"Satisfaction_Base",7
112,1,"Satisfaction_Base",5
113,0,"Satisfaction_Base",7
114,1,"Satisfaction_Base",3
115,1,"Satisfaction_Base",5
116,1,"Satisfaction_Base",7
117,1,"Satisfaction_Base",7
118,1,"Satisfaction_Base",3
119,1,"Satisfaction_Base",8
120,1,"Satisfaction_Base",3
121,1,"Satisfaction_Base",6
122,1,"Satisfaction_Base",5
123,0,"Satisfaction_Base",5
1,0,"Satisfaction_6_Months",6
2,1,"Satisfaction_6_Months",7
3,1,"Satisfaction_6_Months",6
4,0,"Satisfaction_6_Months",9
5,0,"Satisfaction_6_Months",7
6,1,"Satisfaction_6_Months",10
7,0,"Satisfaction_6_Months",6
8,0,"Satisfaction_6_Months",5
9,0,"Satisfaction_6_Months",9
10,0,"Satisfaction_6_Months",10
11,0,"Satisfaction_6_Months",8
12,0,"Satisfaction_6_Months",10
13,1,"Satisfaction_6_Months",8
14,0,"Satisfaction_6_Months",7
15,1,"Satisfaction_6_Months",10
16,1,"Satisfaction_6_Months",10
17,1,"Satisfaction_6_Months",2
18,0,"Satisfaction_6_Months",6
19,1,"Satisfaction_6_Months",10
20,0,"Satisfaction_6_Months",6
21,0,"Satisfaction_6_Months",7
22,1,"Satisfaction_6_Months",4
23,0,"Satisfaction_6_Months",6
24,0,"Satisfaction_6_Months",4
28,1,"Satisfaction_6_Months",10
29,1,"Satisfaction_6_Months",10
30,0,"Satisfaction_6_Months",7
31,0,"Satisfaction_6_Months",7
32,0,"Satisfaction_6_Months",8
33,1,"Satisfaction_6_Months",6
34,0,"Satisfaction_6_Months",7
38,0,"Satisfaction_6_Months",7
39,0,"Satisfaction_6_Months",9
40,0,"Satisfaction_6_Months",5
41,1,"Satisfaction_6_Months",4
44,1,"Satisfaction_6_Months",6
45,1,"Satisfaction_6_Months",5
46,0,"Satisfaction_6_Months",4
47,0,"Satisfaction_6_Months",10
48,1,"Satisfaction_6_Months",5
49,0,"Satisfaction_6_Months",4
50,1,"Satisfaction_6_Months",10
51,0,"Satisfaction_6_Months",4
52,1,"Satisfaction_6_Months",10
53,1,"Satisfaction_6_Months",10
54,1,"Satisfaction_6_Months",4
55,0,"Satisfaction_6_Months",10
56,1,"Satisfaction_6_Months",9
57,1,"Satisfaction_6_Months",6
58,0,"Satisfaction_6_Months",4
59,1,"Satisfaction_6_Months",8
60,1,"Satisfaction_6_Months",6
61,0,"Satisfaction_6_Months",10
62,1,"Satisfaction_6_Months",9
63,1,"Satisfaction_6_Months",9
64,0,"Satisfaction_6_Months",5
65,0,"Satisfaction_6_Months",8
66,1,"Satisfaction_6_Months",9
67,0,"Satisfaction_6_Months",9
68,0,"Satisfaction_6_Months",3
69,0,"Satisfaction_6_Months",9
70,1,"Satisfaction_6_Months",3
71,1,"Satisfaction_6_Months",10
72,1,"Satisfaction_6_Months",7
73,0,"Satisfaction_6_Months",10
74,0,"Satisfaction_6_Months",6
75,0,"Satisfaction_6_Months",10
76,0,"Satisfaction_6_Months",9
77,0,"Satisfaction_6_Months",7
78,0,"Satisfaction_6_Months",5
79,1,"Satisfaction_6_Months",9
80,0,"Satisfaction_6_Months",10
81,0,"Satisfaction_6_Months",6
82,0,"Satisfaction_6_Months",6
83,1,"Satisfaction_6_Months",5
84,1,"Satisfaction_6_Months",6
85,1,"Satisfaction_6_Months",9
86,1,"Satisfaction_6_Months",7
87,0,"Satisfaction_6_Months",7
88,0,"Satisfaction_6_Months",9
89,0,"Satisfaction_6_Months",6
90,1,"Satisfaction_6_Months",4
91,1,"Satisfaction_6_Months",8
92,0,"Satisfaction_6_Months",6
93,0,"Satisfaction_6_Months",7
94,1,"Satisfaction_6_Months",10
95,1,"Satisfaction_6_Months",9
96,0,"Satisfaction_6_Months",3
97,1,"Satisfaction_6_Months",10
98,0,"Satisfaction_6_Months",7
99,1,"Satisfaction_6_Months",5
100,1,"Satisfaction_6_Months",9
101,0,"Satisfaction_6_Months",8
102,1,"Satisfaction_6_Months",8
103,1,"Satisfaction_6_Months",8
104,1,"Satisfaction_6_Months",8
105,0,"Satisfaction_6_Months",10
106,0,"Satisfaction_6_Months",4
107,1,"Satisfaction_6_Months",8
108,1,"Satisfaction_6_Months",4
109,0,"Satisfaction_6_Months",6
110,0,"Satisfaction_6_Months",7
111,0,"Satisfaction_6_Months",8
112,1,"Satisfaction_6_Months",3
113,0,"Satisfaction_6_Months",4
114,1,"Satisfaction_6_Months",2
115,1,"Satisfaction_6_Months",5
116,1,"Satisfaction_6_Months",9
117,1,"Satisfaction_6_Months",6
118,1,"Satisfaction_6_Months",4
119,1,"Satisfaction_6_Months",4
120,1,"Satisfaction_6_Months",6
121,1,"Satisfaction_6_Months",6
122,1,"Satisfaction_6_Months",10
123,0,"Satisfaction_6_Months",6
1,0,"Satisfaction_12_Months",5
2,1,"Satisfaction_12_Months",8
3,1,"Satisfaction_12_Months",2
4,0,"Satisfaction_12_Months",4
5,0,"Satisfaction_12_Months",6
6,1,"Satisfaction_12_Months",4
7,0,"Satisfaction_12_Months",4
8,0,"Satisfaction_12_Months",4
9,0,"Satisfaction_12_Months",5
10,0,"Satisfaction_12_Months",10
11,0,"Satisfaction_12_Months",10
12,0,"Satisfaction_12_Months",9
13,1,"Satisfaction_12_Months",9
14,0,"Satisfaction_12_Months",9
15,1,"Satisfaction_12_Months",8
16,1,"Satisfaction_12_Months",8
17,1,"Satisfaction_12_Months",1
18,0,"Satisfaction_12_Months",7
19,1,"Satisfaction_12_Months",10
20,0,"Satisfaction_12_Months",NA
21,0,"Satisfaction_12_Months",5
22,1,"Satisfaction_12_Months",4
23,0,"Satisfaction_12_Months",4
24,0,"Satisfaction_12_Months",2
28,1,"Satisfaction_12_Months",8
29,1,"Satisfaction_12_Months",9
30,0,"Satisfaction_12_Months",7
31,0,"Satisfaction_12_Months",6
32,0,"Satisfaction_12_Months",NA
33,1,"Satisfaction_12_Months",5
34,0,"Satisfaction_12_Months",7
38,0,"Satisfaction_12_Months",4
39,0,"Satisfaction_12_Months",7
40,0,"Satisfaction_12_Months",5
41,1,"Satisfaction_12_Months",3
44,1,"Satisfaction_12_Months",7
45,1,"Satisfaction_12_Months",4
46,0,"Satisfaction_12_Months",4
47,0,"Satisfaction_12_Months",8
48,1,"Satisfaction_12_Months",4
49,0,"Satisfaction_12_Months",1
50,1,"Satisfaction_12_Months",9
51,0,"Satisfaction_12_Months",4
52,1,"Satisfaction_12_Months",8
53,1,"Satisfaction_12_Months",8
54,1,"Satisfaction_12_Months",3
55,0,"Satisfaction_12_Months",6
56,1,"Satisfaction_12_Months",5
57,1,"Satisfaction_12_Months",7
58,0,"Satisfaction_12_Months",5
59,1,"Satisfaction_12_Months",9
60,1,"Satisfaction_12_Months",7
61,0,"Satisfaction_12_Months",10
62,1,"Satisfaction_12_Months",8
63,1,"Satisfaction_12_Months",7
64,0,"Satisfaction_12_Months",4
65,0,"Satisfaction_12_Months",9
66,1,"Satisfaction_12_Months",8
67,0,"Satisfaction_12_Months",7
68,0,"Satisfaction_12_Months",3
69,0,"Satisfaction_12_Months",10
70,1,"Satisfaction_12_Months",4
71,1,"Satisfaction_12_Months",7
72,1,"Satisfaction_12_Months",5
73,0,"Satisfaction_12_Months",9
74,0,"Satisfaction_12_Months",4
75,0,"Satisfaction_12_Months",6
76,0,"Satisfaction_12_Months",7
77,0,"Satisfaction_12_Months",4
78,0,"Satisfaction_12_Months",3
79,1,"Satisfaction_12_Months",8
80,0,"Satisfaction_12_Months",6
81,0,"Satisfaction_12_Months",9
82,0,"Satisfaction_12_Months",7
83,1,"Satisfaction_12_Months",4
84,1,"Satisfaction_12_Months",2
85,1,"Satisfaction_12_Months",6
86,1,"Satisfaction_12_Months",6
87,0,"Satisfaction_12_Months",9
88,0,"Satisfaction_12_Months",7
89,0,"Satisfaction_12_Months",6
90,1,"Satisfaction_12_Months",4
91,1,"Satisfaction_12_Months",9
92,0,"Satisfaction_12_Months",7
93,0,"Satisfaction_12_Months",9
94,1,"Satisfaction_12_Months",8
95,1,"Satisfaction_12_Months",5
96,0,"Satisfaction_12_Months",4
97,1,"Satisfaction_12_Months",5
98,0,"Satisfaction_12_Months",4
99,1,"Satisfaction_12_Months",4
100,1,"Satisfaction_12_Months",7
101,0,"Satisfaction_12_Months",9
102,1,"Satisfaction_12_Months",5
103,1,"Satisfaction_12_Months",7
104,1,"Satisfaction_12_Months",4
105,0,"Satisfaction_12_Months",8
106,0,"Satisfaction_12_Months",2
107,1,"Satisfaction_12_Months",4
108,1,"Satisfaction_12_Months",4
109,0,"Satisfaction_12_Months",6
110,0,"Satisfaction_12_Months",8
111,0,"Satisfaction_12_Months",7
112,1,"Satisfaction_12_Months",4
113,0,"Satisfaction_12_Months",5
114,1,"Satisfaction_12_Months",1
115,1,"Satisfaction_12_Months",3
116,1,"Satisfaction_12_Months",5
117,1,"Satisfaction_12_Months",6
118,1,"Satisfaction_12_Months",4
119,1,"Satisfaction_12_Months",2
120,1,"Satisfaction_12_Months",1
121,1,"Satisfaction_12_Months",6
122,1,"Satisfaction_12_Months",2
123,0,"Satisfaction_12_Months",2
1,0,"Satisfaction_18_Months",2
2,1,"Satisfaction_18_Months",4
3,1,"Satisfaction_18_Months",2
4,0,"Satisfaction_18_Months",1
5,0,"Satisfaction_18_Months",6
6,1,"Satisfaction_18_Months",2
7,0,"Satisfaction_18_Months",2
8,0,"Satisfaction_18_Months",NA
9,0,"Satisfaction_18_Months",6
10,0,"Satisfaction_18_Months",9
11,0,"Satisfaction_18_Months",9
12,0,"Satisfaction_18_Months",9
13,1,"Satisfaction_18_Months",6
14,0,"Satisfaction_18_Months",5
15,1,"Satisfaction_18_Months",6
16,1,"Satisfaction_18_Months",6
17,1,"Satisfaction_18_Months",NA
18,0,"Satisfaction_18_Months",3
19,1,"Satisfaction_18_Months",6
20,0,"Satisfaction_18_Months",NA
21,0,"Satisfaction_18_Months",6
22,1,"Satisfaction_18_Months",2
23,0,"Satisfaction_18_Months",2
24,0,"Satisfaction_18_Months",NA
28,1,"Satisfaction_18_Months",NA
29,1,"Satisfaction_18_Months",7
30,0,"Satisfaction_18_Months",3
31,0,"Satisfaction_18_Months",3
32,0,"Satisfaction_18_Months",NA
33,1,"Satisfaction_18_Months",3
34,0,"Satisfaction_18_Months",4
38,0,"Satisfaction_18_Months",4
39,0,"Satisfaction_18_Months",6
40,0,"Satisfaction_18_Months",1
41,1,"Satisfaction_18_Months",1
44,1,"Satisfaction_18_Months",3
45,1,"Satisfaction_18_Months",3
46,0,"Satisfaction_18_Months",5
47,0,"Satisfaction_18_Months",6
48,1,"Satisfaction_18_Months",1
49,0,"Satisfaction_18_Months",NA
50,1,"Satisfaction_18_Months",7
51,0,"Satisfaction_18_Months",1
52,1,"Satisfaction_18_Months",5
53,1,"Satisfaction_18_Months",5
54,1,"Satisfaction_18_Months",3
55,0,"Satisfaction_18_Months",2
56,1,"Satisfaction_18_Months",4
57,1,"Satisfaction_18_Months",9
58,0,"Satisfaction_18_Months",1
59,1,"Satisfaction_18_Months",4
60,1,"Satisfaction_18_Months",1
61,0,"Satisfaction_18_Months",4
62,1,"Satisfaction_18_Months",8
63,1,"Satisfaction_18_Months",4
64,0,"Satisfaction_18_Months",3
65,0,"Satisfaction_18_Months",4
66,1,"Satisfaction_18_Months",7
67,0,"Satisfaction_18_Months",6
68,0,"Satisfaction_18_Months",NA
69,0,"Satisfaction_18_Months",8
70,1,"Satisfaction_18_Months",3
71,1,"Satisfaction_18_Months",5
72,1,"Satisfaction_18_Months",3
73,0,"Satisfaction_18_Months",6
74,0,"Satisfaction_18_Months",1
75,0,"Satisfaction_18_Months",NA
76,0,"Satisfaction_18_Months",7
77,0,"Satisfaction_18_Months",2
78,0,"Satisfaction_18_Months",NA
79,1,"Satisfaction_18_Months",NA
80,0,"Satisfaction_18_Months",5
81,0,"Satisfaction_18_Months",4
82,0,"Satisfaction_18_Months",4
83,1,"Satisfaction_18_Months",1
84,1,"Satisfaction_18_Months",2
85,1,"Satisfaction_18_Months",NA
86,1,"Satisfaction_18_Months",3
87,0,"Satisfaction_18_Months",4
88,0,"Satisfaction_18_Months",7
89,0,"Satisfaction_18_Months",3
90,1,"Satisfaction_18_Months",2
91,1,"Satisfaction_18_Months",5
92,0,"Satisfaction_18_Months",4
93,0,"Satisfaction_18_Months",7
94,1,"Satisfaction_18_Months",7
95,1,"Satisfaction_18_Months",5
96,0,"Satisfaction_18_Months",8
97,1,"Satisfaction_18_Months",NA
98,0,"Satisfaction_18_Months",1
99,1,"Satisfaction_18_Months",NA
100,1,"Satisfaction_18_Months",2
101,0,"Satisfaction_18_Months",3
102,1,"Satisfaction_18_Months",NA
103,1,"Satisfaction_18_Months",6
104,1,"Satisfaction_18_Months",3
105,0,"Satisfaction_18_Months",4
106,0,"Satisfaction_18_Months",NA
107,1,"Satisfaction_18_Months",5
108,1,"Satisfaction_18_Months",3
109,0,"Satisfaction_18_Months",3
110,0,"Satisfaction_18_Months",6
111,0,"Satisfaction_18_Months",8
112,1,"Satisfaction_18_Months",NA
113,0,"Satisfaction_18_Months",3
114,1,"Satisfaction_18_Months",NA
115,1,"Satisfaction_18_Months",NA
116,1,"Satisfaction_18_Months",2
117,1,"Satisfaction_18_Months",4
118,1,"Satisfaction_18_Months",1
119,1,"Satisfaction_18_Months",1
120,1,"Satisfaction_18_Months",7
121,1,"Satisfaction_18_Months",7
122,1,"Satisfaction_18_Months",NA
123,0,"Satisfaction_18_Months",1
