"goal","amount_pledged","backer_count","comment_count","update_coun","has_video","body_length","body_image_count","body_video_count","raw_location","currency","end_date","start_date","status","category","subcategory"
10000,11207,198,9,14,1,6877,19,0,"Berkeley, CA","USD",2015-04-23,2015-03-24,6,"art","Public Art"
3000,1193,40,2,3,0,3890,0,1,"Augsburg, Germany","EUR",2016-02-17,2015-12-19,3,"technology","Software"
650,756,11,0,3,1,2044,3,2,"Austin, TX","USD",2012-06-23,2012-05-17,6,"film & video","Shorts"
2000,175,8,1,1,1,999,0,0,"Detroit, MI","USD",2014-08-30,2014-07-31,3,"art","Conceptual Art"
1500,1862,21,0,3,1,973,0,0,"Minneapolis, MN","USD",2011-08-20,2011-06-21,6,"film & video","Narrative Film"
8000,30,2,0,0,0,1251,0,0,"Oostburg, Netherlands","EUR",2015-11-21,2015-10-22,7,"technology","3D Printing"
600,70,4,1,2,0,427,0,0,"Santa Clara, CA","USD",2012-12-29,2012-12-04,3,"art","Art"
5000,0,0,0,1,0,228,0,0,"Fyffe, AL","USD",2014-10-12,2014-08-13,3,"publishing","Publishing"
10000,489,41,9,1,1,3142,15,0,"Madison, WI","USD",2013-08-02,2013-07-03,3,"design","Product Design"
49000,146011,1702,1476,19,1,7419,13,1,"Richmond, VA","USD",2014-04-25,2014-03-26,6,"comics","Comics"
10000,230,17,3,2,1,3331,2,0,"Wilmington, NC","USD",2014-02-05,2014-01-06,3,"food","Food"
65000,1,1,0,1,1,807,0,0,"New York, NY","USD",2015-11-01,2015-10-02,1,"technology","Apps"
1500,0,0,0,0,1,1605,0,0,"Tucson, AZ","USD",2012-01-10,2011-11-11,1,"music","Rock"
100,0,0,0,1,0,2466,0,0,"Doylestown, PA","USD",2010-07-18,2010-06-19,3,"art","Digital Art"
11100,165,3,0,1,0,1837,0,0,"Lyndhurst, NJ","USD",2013-02-22,2013-01-23,3,"publishing","Nonfiction"
50000,0,0,0,0,1,1288,0,0,"Manhattan, NY","USD",2013-11-21,2013-10-22,3,"film & video","Film & Video"
500,0,0,0,0,0,3208,0,0,"San Francisco, CA","AUD",2015-09-04,2015-07-28,3,"publishing","Publishing"
20000,4209,36,2,3,1,5699,24,1,"Limerick, Ireland","GBP",2014-07-06,2014-05-27,3,"design","Product Design"
30000,14497,95,9,6,1,2282,4,0,"Mountain View, CA","USD",2012-03-17,2012-01-17,3,"technology","Technology"
35000,3778,61,0,10,1,9411,23,0,"Shakopee, MN","USD",2013-04-05,2013-03-01,3,"games","Tabletop Games"
5000,2,2,0,0,0,760,0,0,"Atlanta, GA","USD",2016-03-20,2016-02-23,3,"publishing","Children's Books"
21000,21125,30,1,3,1,2794,15,2,"Stockholm, Sweden","SEK",2016-04-14,2016-02-29,6,"film & video","Horror"
10000,11,3,0,0,0,1828,0,0,"Berkeley, CA","USD",2014-08-05,2014-07-21,3,"technology","Apps"
40000,0,0,0,0,0,7990,5,0,"Albrightsville, PA","USD",2014-01-04,2013-12-05,3,"design","Design"
1500,1534,24,2,3,1,1519,0,0,"Pullman, WA","USD",2012-07-05,2012-06-05,6,"theater","Theater"
150000,100,1,0,0,1,3162,0,0,"Baltimore, MD","USD",2014-12-17,2014-11-17,3,"publishing","Publishing"
5000,311,3,0,2,1,969,1,0,"San Diego, CA","USD",2016-03-02,2016-02-01,3,"fashion","Accessories"
5000,6929,161,9,3,1,3709,8,1,"Seattle, WA","USD",2015-06-01,2015-05-01,6,"publishing","Young Adult"
1500,1500,21,2,0,1,0,0,0,"Pittsburgh, PA","USD",2016-06-30,2016-05-31,6,"fashion","Apparel"
10000,1633,26,3,10,0,1174,0,0,"New City, NY","USD",2012-03-15,2012-01-15,3,"food","Food"
1600,0,0,0,0,1,2442,0,0,"Bellevue, Memphis, TN","USD",2015-03-13,2015-02-11,3,"film & video","Webseries"
4000,145,4,0,1,1,880,0,0,"Nashville, TN","USD",2015-02-13,2015-01-14,1,"music","Country & Folk"
3500,4221,75,0,7,1,1211,0,0,"Nashville, TN","USD",2014-10-04,2014-09-04,6,"music","Indie Rock"
1500,1501,35,0,3,1,4102,0,0,"Guadalajara, Mexico","USD",2011-10-22,2011-10-03,6,"art","Mixed Media"
5000,10,1,0,0,0,607,0,0,"Bathgate, Bronx, NY","USD",2016-02-11,2016-01-07,3,"fashion","Apparel"
3000,150,6,0,0,1,1864,0,0,"New Orleans, LA","USD",2012-06-16,2012-04-17,3,"music","Pop"
10000,425,16,0,3,1,1198,0,0,"Los Angeles, CA","USD",2014-08-08,2014-07-09,3,"fashion","Fashion"
5338,NA,NA,0,0,0,1939,1,0,"Den Bosch, Netherlands","USD",2016-10-30,2016-09-30,4,"art","Public Art"
8500,141,5,0,0,0,0,0,0,"Grand Marais, MN","USD",2016-07-06,2016-06-06,3,"fashion","Accessories"
23000,24082,553,74,13,1,5275,38,0,"Paris, France","EUR",2016-03-12,2016-02-11,6,"games","Video Games"
3500,623,21,1,5,0,3038,1,3,"London, UK","USD",2012-05-28,2012-04-16,3,"music","Electronic Music"
15000,15566,149,7,14,1,1474,0,0,"Washington, DC","USD",2011-01-15,2010-12-16,6,"film & video","Documentary"
3000,510,4,0,3,1,3032,4,0,"Mill Creek, WA","USD",2012-05-25,2012-04-25,3,"art","Mixed Media"
500000,0,0,0,0,1,3200,0,0,"Stockholm, Sweden","SEK",2015-11-24,2015-09-25,1,"technology","Hardware"
3500,6290,105,8,11,1,6173,19,0,"Ashland, OR","USD",2013-12-02,2013-11-08,6,"design","Graphic Design"
540,561,16,1,24,1,8395,7,0,"Auroville, India","GBP",2014-03-28,2014-02-23,6,"art","Public Art"
68000,2470,17,2,5,1,5791,20,0,"Atlanta, GA","USD",2015-04-13,2015-03-14,3,"fashion","Accessories"
6000,6586,144,7,6,1,2375,13,1,"Jacksonville, FL","USD",2016-09-29,2016-08-30,6,"comics","Graphic Novels"
1000,0,0,0,0,1,593,0,0,"Montreal, Canada","CAD",2014-08-31,2014-07-16,1,"food","Food"
5000,7090,287,7,8,1,4516,1,0,"New York, NY","USD",2012-04-05,2012-03-06,6,"publishing","Nonfiction"
1500,1550,30,2,5,1,1641,0,0,"Chicago, IL","USD",2011-04-19,2011-03-28,6,"film & video","Film & Video"
2500,2517,90,6,11,1,0,0,0,"Houston, TX","USD",2011-05-23,2011-04-23,6,"art","Art"
4181,4389,119,3,12,1,4727,3,0,"Washington, DC","USD",2013-06-21,2013-05-22,6,"publishing","Nonfiction"
2000,52816,2416,115,12,1,1450,9,1,"Winnipeg, Canada","USD",2016-03-26,2016-02-22,6,"games","Tabletop Games"
10,55,4,5,1,0,1359,1,0,"Heart of Lubbock, Lubbock, TX","USD",2014-10-04,2014-09-04,6,"food","Food"
4000,891,21,1,2,1,1065,9,0,"Las Vegas, NV","USD",2012-08-20,2012-07-26,1,"food","Food"
5000,5048,28,1,4,1,517,0,0,"Los Angeles, CA","USD",2015-12-07,2015-10-23,6,"music","Electronic Music"
5700,6513,121,1,11,1,1899,1,0,"San Francisco, CA","USD",2013-06-23,2013-05-24,6,"music","Music"
5000,150,5,0,0,1,2001,0,0,"Pittsburgh, PA","USD",2011-12-22,2011-11-22,3,"art","Public Art"
3000,40,4,0,0,0,871,0,0,"Manchester, UK","GBP",2014-12-08,2014-10-10,3,"fashion","Fashion"
7000,75,1,0,0,1,2068,1,0,"Seattle, WA","USD",2013-12-01,2013-11-01,3,"publishing","Fiction"
4000,5566,68,12,9,1,4512,4,0,"Los Angeles, CA","USD",2012-01-24,2011-12-20,6,"comics","Comics"
2500,0,0,0,0,0,1,0,0,"Detroit, MI","USD",2012-01-11,2011-12-12,3,"art","Performance Art"
7000,708,45,2,3,0,618,3,0,"Red Bank, NJ","USD",2013-11-29,2013-10-29,3,"design","Graphic Design"
4205,6160,95,1,5,1,1840,3,0,"Brooklyn, NY","USD",2012-10-04,2012-09-13,6,"film & video","Film & Video"
2500,0,0,0,0,1,599,0,0,"Middleton, MA","USD",2015-04-04,2015-02-03,3,"photography","Photography"
80000000,36,3,0,2,0,603,0,0,"Winnemucca, NV","USD",2015-07-27,2015-05-29,3,"design","Architecture"
3000,4106,95,0,8,1,1222,4,0,"Atlanta, GA","USD",2012-03-04,2012-01-26,6,"art","Performance Art"
6443,6621,144,0,5,1,3093,11,0,"London, UK","GBP",2016-05-07,2016-04-07,6,"film & video","Shorts"
30000,6082,77,3,4,1,2612,8,2,"Lexington, KY","USD",2014-06-25,2014-05-14,3,"design","Product Design"
6500,6550,52,1,2,1,3849,0,0,"Katy, TX","USD",2014-10-02,2014-09-02,6,"music","Kids"
75000,75203,317,18,13,1,5883,29,0,"Los Angeles, CA","USD",2015-03-12,2015-02-10,6,"film & video","Documentary"
17000,1178,26,14,2,1,2536,9,1,"Salt Lake City, UT","USD",2012-07-01,2012-05-29,1,"games","Tabletop Games"
7000,7068,67,4,4,1,1243,0,0,"Brooklyn, NY","USD",2011-05-26,2011-04-26,6,"film & video","Narrative Film"
10143,240,8,0,15,1,2796,0,0,"Salt Lake City, UT","USD",2011-12-13,2011-10-14,3,"art","Mixed Media"
900,955,21,0,15,0,170,0,0,"Los Angeles, CA","USD",2015-04-18,2015-03-04,6,"film & video","Drama"
3000,4091,52,0,2,1,2051,0,1,"Long Beach, CA","USD",2016-09-06,2016-08-07,6,"music","Rock"
10000,255,5,2,1,0,666,0,0,"North Richland Hills, TX","USD",2014-08-31,2014-08-01,3,"design","Product Design"
500,5,1,0,0,0,389,0,0,"Daytona Beach, FL","USD",2014-08-08,2014-07-09,3,"art","Art"
40000,8785,67,4,6,1,2477,3,0,"Nashville, TN","USD",2013-11-06,2013-09-07,3,"music","Rock"
5000,0,0,0,0,1,928,3,0,"Calumet City, IL","USD",2013-05-02,2013-04-02,3,"technology","Software"
1000,0,0,0,0,1,1648,2,0,"Minneapolis, MN","USD",2014-06-22,2014-05-23,3,"music","Classical Music"
1000000,NA,NA,0,0,1,628,0,0,"Provo, UT","USD",2016-09-19,2016-07-21,3,"film & video","Movie Theaters"
7500,10000,83,3,1,1,2187,7,0,"Brooklyn, NY","USD",2013-12-13,2013-11-13,6,"food","Food"
5000,875,10,1,0,1,1059,0,0,"Atlanta, GA","USD",2012-08-24,2012-06-25,1,"music","Rock"
30,0,0,0,0,0,350,0,0,"Azle, TX","USD",2015-06-05,2015-05-06,3,"art","Mixed Media"
8000,200,4,0,0,1,836,0,0,"Oktaha, OK","USD",2013-12-07,2013-11-22,3,"music","Country & Folk"
1000,80,4,0,0,0,3315,1,0,"Los Angeles, CA","USD",2012-10-05,2012-09-05,3,"comics","Comics"
10000,13522,66,4,9,1,2178,2,0,"Los Angeles, CA","USD",2012-06-29,2012-05-30,6,"fashion","Fashion"
5000,5455,56,6,5,1,3219,2,0,"Brooklyn, NY","USD",2012-02-23,2012-01-23,6,"music","Indie Rock"
5000,6596,49,2,12,1,5159,1,2,"Portland, OR","USD",2013-06-07,2013-05-14,6,"film & video","Shorts"
1000,1020,15,0,8,0,598,0,0,"Tallahassee, FL","USD",2011-10-01,2011-09-14,6,"music","Jazz"
20000,6484,78,1,16,1,2622,1,0,"New York, NY","USD",2014-09-15,2014-08-13,3,"music","Music"
40000,796,4,0,0,1,5723,39,2,"Boston, MA","USD",2013-05-24,2013-04-14,3,"design","Product Design"
30000,1287,21,0,0,1,4550,7,0,"San Diego, CA","USD",2013-08-25,2013-07-26,3,"fashion","Fashion"
5000,5045,58,0,5,1,3651,3,0,"Birmingham, UK","GBP",2015-04-07,2015-03-08,6,"publishing","Fiction"
8000,3103,57,16,29,1,1830,0,0,"Portland, OR","USD",2010-09-15,2010-08-05,3,"journalism","Journalism"
1200,23,2,0,0,0,1654,0,0,"London, UK","GBP",2014-06-22,2014-05-23,3,"publishing","Nonfiction"
5050,916,15,1,6,1,9257,9,0,"St. Louis, MO","USD",2014-11-10,2014-09-30,3,"music","Rock"
7000,7475,130,2,4,1,1007,0,0,"New York, NY","USD",2011-02-21,2011-01-08,6,"theater","Theater"
5000,341,12,0,2,1,2534,11,0,"Buffalo, NY","USD",2012-11-14,2012-09-26,3,"publishing","Fiction"
750,75,3,0,0,0,2391,0,0,"Aitkin, MN","USD",2014-05-12,2014-04-02,3,"publishing","Nonfiction"
10000,1381,8,0,0,0,1414,0,0,"Los Angeles, CA","USD",2016-01-17,2015-12-18,3,"technology","Apps"
1000,360,21,0,4,1,0,0,0,"Sacramento, CA","USD",2012-05-26,2012-04-26,3,"film & video","Shorts"
4200,991,15,0,1,0,3433,0,0,"Costa Mesa, CA","USD",2016-02-12,2016-01-26,3,"music","Classical Music"
3000,3505,32,0,3,1,6121,22,0,"Tulsa, OK","USD",2016-06-16,2016-05-17,6,"design","Product Design"
15000,19163,233,5,6,1,1904,2,0,"New York, NY","USD",2013-11-02,2013-10-03,6,"dance","Dance"
5000,1306,39,0,2,1,773,6,0,"Brisbane, AU","AUD",2014-11-18,2014-09-29,3,"art","Painting"
6000,0,0,0,0,1,3472,0,0,"Charlotte, NC","USD",2012-02-29,2011-12-31,3,"music","Pop"
3000,1464,99,5,8,0,3854,0,0,"West Chester, PA","USD",2015-01-14,2014-12-15,3,"publishing","Academic"
3500,20,2,0,1,0,2242,5,0,"London, UK","GBP",2013-06-13,2013-05-14,3,"photography","Photography"
350,746,34,6,9,0,0,0,0,"Cleveland, OH","USD",2011-05-31,2011-04-05,6,"food","Food"
3500,3955,102,12,9,1,1389,0,0,"St. Paul, MN","USD",2012-06-21,2012-05-22,6,"music","Rock"
66500,0,0,0,0,0,1161,0,0,"Dallas, TX","USD",2015-02-20,2015-01-21,1,"music","Country & Folk"
250,7613,200,32,10,1,4046,18,0,"York, PA","USD",2016-06-15,2016-05-16,6,"games","Tabletop Games"
30000,55,10,2,0,1,3809,5,0,"Rancho Cucamonga, CA","USD",2014-01-17,2013-12-18,3,"technology","Hardware"
9000,337,14,0,2,1,2694,0,0,"Austin, TX","USD",2011-06-01,2011-04-13,1,"music","Jazz"
1000,7196,325,49,29,1,3816,7,0,"Brooklyn, NY","USD",2013-01-09,2012-12-10,6,"food","Food"
10000,2418,48,1,0,1,770,0,0,"Hellertown, PA","USD",2013-01-26,2013-01-16,3,"journalism","Journalism"
4000,4005,54,3,17,1,936,0,0,"Cambridge, MA","USD",2011-07-06,2011-05-08,6,"theater","Theater"
25000,29141,345,3,5,1,2465,0,0,"San Francisco, CA","USD",2012-11-03,2012-10-04,6,"music","Rock"
4500,5791,85,1,5,1,2254,5,0,"Brooklyn, NY","USD",2016-01-09,2015-12-10,6,"comics","Graphic Novels"
20000,45663,641,47,17,1,3295,7,0,"Venice, Los Angeles, CA","USD",2013-08-29,2013-07-30,6,"food","Food"
100000,14,6,0,0,0,1729,0,0,"Lihue, HI","USD",2015-02-20,2015-01-21,3,"technology","Wearables"
20000,1,1,0,0,0,757,0,0,"Incline Village, NV","USD",2015-05-01,2015-04-01,3,"film & video","Documentary"
10000,3,3,0,0,0,592,0,0,"Leadville Junction, CO","USD",2015-03-02,2015-01-31,3,"food","Bacon"
7900,140,5,0,4,1,1266,0,0,"Prague, Czech Republic","USD",2015-09-18,2015-08-19,3,"publishing","Nonfiction"
12000,0,0,0,0,0,1299,0,0,"New York, NY","USD",2012-09-15,2012-08-16,3,"publishing","Nonfiction"
6500,NA,NA,0,0,0,888,0,0,"Missoula, MT","USD",2016-11-25,2016-09-26,4,"publishing","Publishing"
30,0,0,0,0,0,137,0,0,"Boston, MA","USD",2014-08-06,2014-07-07,3,"food","Bacon"
14600,1055,11,2,2,1,4124,6,0,"Virginia Beach, VA","USD",2016-02-08,2016-01-09,3,"food","Food Trucks"
700,0,0,0,0,0,549,0,0,"Blaine, MN","USD",2014-08-27,2014-07-28,3,"fashion","Apparel"
6000,6125,48,0,1,1,2796,3,0,"Amherst, MA","USD",2013-01-12,2012-12-13,6,"music","Music"
800,800,4,0,0,0,1507,1,0,"Guildford, UK","GBP",2015-06-29,2015-05-24,1,"music","Music"
10000,10725,62,0,10,1,10040,16,0,"Prescott, AZ","USD",2013-12-12,2013-11-10,6,"photography","Photography"
2500,2754,47,0,10,1,1238,1,0,"Houghton, NY","USD",2013-02-16,2013-01-24,6,"music","Rock"
5000,5176,97,7,8,1,2136,0,0,"Bellingham, WA","USD",2010-10-10,2010-09-10,6,"music","Music"
5000,5055,42,0,3,1,1157,6,0,"Newcastle, WY","USD",2012-12-05,2012-11-05,6,"publishing","Children's Books"
5000,1355,7,0,0,1,2475,11,0,"Surrey, Canada","CAD",2014-04-14,2014-02-13,1,"art","Illustration"
50000,45770,215,39,7,1,11708,17,1,"Mount Kisco, NY","USD",2016-02-06,2016-01-06,3,"design","Product Design"
250,216,8,0,1,1,281,0,0,"New York, NY","USD",2015-11-27,2015-11-18,3,"fashion","Ready-to-wear"
2500,0,0,0,0,1,1787,0,0,"Salt Lake City, UT","USD",2016-01-10,2015-12-11,3,"publishing","Anthologies"
2000,2121,154,0,1,0,1122,0,0,"Seattle, WA","USD",2016-03-15,2016-02-12,6,"publishing","Radio & Podcasts"
40000,50091,266,10,11,1,7862,12,0,"Brooklyn, NY","USD",2016-04-07,2016-03-08,6,"film & video","Documentary"
10000,738,10,0,3,1,1735,5,2,"Blandford Forum, UK","GBP",2015-07-27,2015-06-27,3,"photography","Photography"
35000,288,7,3,0,1,146,14,0,"Santa Clara, CA","USD",2016-05-08,2016-04-08,3,"design","Product Design"
12000,0,0,0,0,0,0,0,0,"Staten Island, NY","USD",2012-02-02,2012-01-03,3,"food","Food"
11000,3825,16,0,0,1,1373,0,0,"Los Angeles, CA","USD",2011-11-02,2011-10-03,3,"publishing","Publishing"
10000,10723,68,3,0,1,1656,0,0,"Detroit, MI","USD",2011-04-08,2011-03-08,6,"publishing","Periodicals"
7500,7762,159,4,22,1,3967,16,0,"Chicago, IL","USD",2014-10-28,2014-09-28,6,"fashion","Accessories"
7450,5,1,0,0,1,915,0,0,"Glasgow, UK","GBP",2016-06-14,2016-05-16,3,"publishing","Nonfiction"
50000,0,0,0,0,1,500,0,0,"Helena, MT","USD",2013-01-10,2012-12-11,3,"art","Performance Art"
55000,0,0,0,0,0,262,0,0,"Leipzig, Germany","EUR",2015-11-01,2015-10-02,3,"games","Games"
50000,391,7,1,0,1,1085,0,0,"Enschede, Netherlands","EUR",2014-09-14,2014-08-15,3,"technology","Hardware"
20000,0,0,0,0,0,3711,0,0,"New York, NY","USD",2016-05-15,2016-04-15,3,"publishing","Nonfiction"
1500,1565,43,0,0,1,0,0,0,"Exeter, UK","GBP",2016-07-02,2016-05-21,6,"music","Music"
16500,5768,88,0,8,1,4641,2,0,"Minneapolis, MN","USD",2013-07-19,2013-06-19,3,"film & video","Documentary"
1000,1,1,0,0,0,1436,0,0,"South River, NJ","USD",2015-02-26,2015-01-27,3,"publishing","Periodicals"
231,0,0,0,0,0,1445,0,0,"Zwolle, Netherlands","EUR",2016-06-20,2016-05-31,1,"art","Illustration"
12500,296,4,0,0,0,1528,0,0,"Houston, TX","USD",2015-04-22,2015-03-23,3,"technology","Web"
12000,0,0,0,0,1,1501,0,0,"Munich, Germany","USD",2011-12-19,2011-11-28,3,"games","Video Games"
100,0,0,0,0,0,1925,0,0,"Evergreen, Boulder, CO","USD",2015-10-19,2015-10-09,3,"publishing","Academic"
4400,1863,28,1,4,1,5748,15,0,"Ladera Ranch, CA","USD",2014-08-07,2014-07-08,3,"film & video","Film & Video"
300,0,0,0,0,1,1010,0,0,"Omaha, NE","USD",2011-03-09,2011-02-28,3,"publishing","Publishing"
2500,2920,57,1,15,0,1371,0,0,"Los Angeles, CA","USD",2009-12-31,2009-10-13,6,"film & video","Webseries"
9999,13860,258,234,37,1,2873,15,0,"Brooklyn, NY","USD",2014-09-18,2014-08-19,6,"technology","3D Printing"
7500,8147,147,0,7,1,6474,0,0,"Tucson, AZ","USD",2013-07-21,2013-06-21,6,"publishing","Publishing"
5000,136,6,0,0,1,838,1,0,"Chicago, IL","USD",2014-10-06,2014-09-06,3,"film & video","Drama"
25000,2373,29,0,2,1,3826,14,0,"Portland, OR","USD",2013-04-22,2013-03-19,3,"fashion","Fashion"
100000,15,1,0,0,0,448,0,0,"Brisbane, AU","AUD",2015-04-21,2015-02-20,3,"design","Interactive Design"
